Model,Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
mlp,1,5,76.15410041809082,21.374252319335938,3.565178632736206,0.5753256111074132,nan,nan,nan,nan,nan
mlp,2,1,6.116024494171143,nan,nan,nan,0.7130996309963099,0.7111517367458866,0.7177121771217713,0.7144168962350781,0.7130996309963098
mlp,2,2,5.950000524520874,nan,nan,nan,0.7158671586715867,0.7074468085106383,0.7361623616236163,0.7215189873417721,0.7158671586715867
mlp,2,3,6.0126330852508545,nan,nan,nan,0.7223247232472325,0.735812133072407,0.6937269372693727,0.714150047483381,0.7223247232472324
mlp,2,4,6.667593717575073,nan,nan,nan,0.7103321033210332,0.7087912087912088,0.7140221402214022,0.7113970588235294,0.7103321033210331
mlp,2,5,6.116450309753418,nan,nan,nan,0.7075645756457565,0.6956521739130435,0.7380073800738007,0.7162041181736795,0.7075645756457565
mlp,3,1,6.007445812225342,nan,nan,nan,0.702656383890317,0.705574912891986,0.6946826758147513,0.700086430423509,0.7026495570854578
mlp,3,2,5.841514348983765,nan,nan,nan,0.6949443016281063,0.7072727272727273,0.666095890410959,0.6860670194003529,0.6949690429756339
mlp,3,3,6.6020348072052,nan,nan,nan,0.6838046272493573,0.6856649395509499,0.6797945205479452,0.6827171109200344,0.6838080664489298
mlp,3,4,6.574998140335083,nan,nan,nan,0.7000856898029134,0.7089285714285715,0.6797945205479452,0.694055944055944,0.7001030921779178
mlp,3,5,6.0185768604278564,nan,nan,nan,0.6932305055698372,0.6977152899824253,0.6809605488850772,0.689236111111111,0.6932200004699357
mlp,4,1,200.14393544197083,nan,nan,nan,0.8177613320999075,0.9175257731958762,0.8154450261780105,0.8634788634788635,0.819394437379226
mlp,4,2,140.17294478416443,nan,nan,nan,0.8066604995374653,0.8817056396148556,0.8390052356020943,0.8598256203890007,0.7838559301038863
mlp,4,3,121.91626644134521,nan,nan,nan,0.7983348751156337,0.8922413793103449,0.81282722513089,0.8506849315068493,0.7881170825969906
